c1_2_3

VEHICLE
NUMBER     CAPACITY
  50          200

CUSTOMER
CUST NO.  XCOORD.    YCOORD.    DEMAND   READY TIME  DUE DATE   SERVICE TIME   PREMIUM
 
    0      70         70          0          0       1351          0
    1         33         78         20            0        9999              448         1
    2         59         52         20            0        9999              444         1
    3         10        137         30            0        9999              354         1
    4          4         28         10            0        9999              275         1
    5         25         26         20            0        9999              321         1
    6         86         37         10            0        9999              297         1
    7          1        109         10            0        9999              330         1
    8          6        135         40            0        9999              279         1
    9         32         79         20            0        9999              353         1
   10         24         26         20            0        9999              333         1
   11         86         36         20            0        1224               90         0
   12         95         35         10            0        1218               90         0
   13         63         50         10            0        1240               90         0
   14        100        106         10          567         626               90         0
   15         99        112         20          846         911               90         0
   16         36        135         10          598         669               90         0
   17         57         59         10            0        1244               90         0
   18          8        124         10            0        1179               90         0
   19         85        106         20            0        1222               90         0
   20        103         69         30            0        1228               90         0
   21        109        131         20            0        1189               90         0
   22         43        140         10          410         470               90         0
   23        115        134         30          140         199               90         0
   24         98         70         10          467         511               90         0
   25        112         67         10          462         534               90         0
   26        102        104         20          201         258               90         0
   27         93         75         30            0        1238               90         0
   28         90        104         20            0        1222               90         0
   29        127        108         10            0        1193               90         0
   30         84         99         20            0        1229               90         0
   31        113         69         20          370         440               90         0
   32        129          9         10           84         147               90         0
   33         18         38         30          582         638               90         0
   34         30         27         10            0        1203               90         0
   35         25         80         20          380         440               90         0
   36         17         37         30            0        1199               90         0
   37         32        106         10          602         657               90         0
   38         43        135         10            0        1191               90         0
   39         61         59         20          931         971               90         0
   40        104        106         20          390         434               90         0
   41        109         71         20            0        1222               90         0
   42        121        110         30            0        1197               90         0
   43         61         48         20          448         517               90         0
   44         74         99         20          176         243               90         0
   45         89         73         10           19          94               90         0
   46         21         25         20            0        1195               90         0
   47         99         28         30          392         442               90         0
   48        101         96         10          101         160               90         0
   49          9        114         20          904         954               90         0
   50        121        112         20          221         277               90         0
   51        137          6         10          611         678               90         0
   52        118        131         20          782         857               90         0
   53         34         82         10            0        1224               90         0
   54          4        125         30          319         398               90         0
   55         26        105         40            0        1205               90         0
   56         35        123         20         1130        1198               90         0
   57         21         48         10            0        1208               90         0
   58         21        115         10          306         376               90         0
   59         99        108         20            0        1214               90         0
   60          1         34         20            0        1184               90         0
   61         94         70         20          556         610               90         0
   62         74         93         20           23          66               90         0
   63         32        128         20            0        1192               90         0
   64         94         73         10          741         791               90         0
   65        135          3         20            0        1168               90         0
   66         97         28         20            0        1212               90         0
   67         59         56         20            0        1244               90         0
   68         80         97         10            0        1233               90         0
   69        134         31         20            0        1187               90         0
   70        103         34         30          577         636               90         0
   71         30         79         20            0        1220               90         0
   72          4         30         40            0        1184               90         0
   73         87         39         20            0        1226               90         0
   74         90        101         10            0        1225               90         0
   75        119        136         30            0        1179               90         0
   76         78         92         30            0        1238               90         0
   77        110         66         10            0        1221               90         0
   78         62         58         20            0        1247               90         0
   79        127        112         20          595         636               90         0
   80        113         71         10          286         341               90         0
   81         34        104         10            0        1212               90         0
   82          2         28         10            0        1182               90         0
   83         17         43         10            0        1202               90         0
   84          1         24         10            0        1179               90         0
   85        112         71         20            0        1219               90         0
   86        135          0         10            0        1166               90         0
   87        125        108         20          778         825               90         0
   88          8        138         30          234         316               90         0
   89        103        111         20            0        1209               90         0
   90         57         53         10            0        1240               90         0
   91         98         31         20            0        1213               90         0
   92        116        132         10            0        1184               90         0
   93         28         99         10           51          93               90         0
   94        137          3         20            0        1167               90         0
   95         29         28         10          865         925               90         0
   96         94        105         10          656         728               90         0
   97         92        107         30          465         532               90         0
   98         10        134         10          629         677               90         0
   99         34         79         10          841         902               90         0
  100         94         72         20          647         703               90         0
  101         35         76         10            0        1226               90         0
  102         76         99         20            0        1232               90         0
  103        127         28         30          128         195               90         0
  104          8        119         20            0        1182               90         0
  105        102        110         10            0        1210               90         0
  106         24         24         10            0        1196               90         0
  107         64         61         20         1011        1077               90         0
  108         22         38         20          950        1003               90         0
  109         88         72         30            0        1243               90         0
  110        107         63         30          748         800               90         0
  111         33        131         30          979        1037               90         0
  112        123        112         20            0        1194               90         0
  113         67         55         10           15          62               90         0
  114         39        128         10            0        1196               90         0
  115        136          0         30            0        1165               90         0
  116         93         36         20            0        1220               90         0
  117          7        115         10            0        1184               90         0
  118         21         44         20          115         180               90         0
  119         28         74         20            0        1219               90         0
  120         86        102         10           93         159               90         0
  121         19         37         20          665         738               90         0
  122         84         36         10          568         626               90         0
  123        118        108         10          972        1008               90         0
  124        132         24         10            0        1184               90         0
  125          6         25         10          516         574               90         0
  126         28         78         10            0        1219               90         0
  127          2        132         10          526         584               90         0
  128         22         22         10            0        1194               90         0
  129         88         35         20          285         358               90         0
  130         94        104         10          754         813               90         0
  131         74         96         30            0        1235               90         0
  132          0        117         30          515         585               90         0
  133         99         96         10            0        1223               90         0
  134        119        114         20          128         185               90         0
  135         28        107         20            0        1206               90         0
  136        133         12         10          797         874               90         0
  137         35        102         10            0        1214               90         0
  138         36        105         20          776         852               90         0
  139         84         39         20          659         720               90         0
  140         34        138         20          704         749               90         0
  141        136         29         10          406         482               90         0
  142         33        133         20          890         941               90         0
  143         16         39         20          314         358               90         0
  144         32         77         20            0        1223               90         0
  145        122        131         20            0        1181               90         0
  146         77        100         20            0        1231               90         0
  147         96         26         10            0        1210               90         0
  148        127         29         20           70         141               90         0
  149         91         95         20            0        1229               90         0
  150         42        136         10          310         381               90         0
  151         36        132         10          509         571               90         0
  152        103        106         30          296         347               90         0
  153        107        105         10          472         539               90         0
  154         96         74         10            0        1235               90         0
  155         63         57         10            0        1247               90         0
  156        122        113         20          307         374               90         0
  157         14        131         10          712         784               90         0
  158         30         31         20          960        1016               90         0
  159         40        132         20          137         182               90         0
  160         99         26         40          287         363               90         0
  161         10        118         10           76         144               90         0
  162        102         60         30          840         900               90         0
  163        120        136         10            0        1179               90         0
  164         97         29         30            0        1212               90         0
